Notation,Raag,Aaroh_Avaroh,LyricalNote,Sequence,Absolute Sequence
?,Yaman,Aaroh,N.,1,12
R,Yaman,Aaroh,R,2,15
G,Yaman,Aaroh,G,3,17
?,Yaman,Aaroh,M,4,19
P,Yaman,Aaroh,P,5,20
D,Yaman,Aaroh,D,6,22
N,Yaman,Aaroh,N,7,24
?,Yaman,Aaroh,S',100,25
?,Yaman,Avaroh,S',1,25
N,Yaman,Avaroh,N,2,24
D,Yaman,Avaroh,D,3,22
P,Yaman,Avaroh,P,4,20
?,Yaman,Avaroh,M,5,19
G,Yaman,Avaroh,G,6,17
R,Yaman,Avaroh,R,7,15
S,Yaman,Avaroh,S,100,13
S,Bilawal,Aaroh,S,1,13
R,Bilawal,Aaroh,R,2,15
G,Bilawal,Aaroh,G,3,17
M,Bilawal,Aaroh,m,4,18
P,Bilawal,Aaroh,P,5,20
D,Bilawal,Aaroh,D,6,22
N,Bilawal,Aaroh,N,7,24
?,Bilawal,Aaroh,S',100,25
?,Bilawal,Avaroh,S',1,25
N,Bilawal,Avaroh,N,2,24
D,Bilawal,Avaroh,D,3,22
P,Bilawal,Avaroh,P,4,20
M,Bilawal,Avaroh,m,5,18
G,Bilawal,Avaroh,G,6,17
R,Bilawal,Avaroh,R,7,15
S,Bilawal,Avaroh,S,100,13
S,Bhoopali,Aaroh,S,1,13
R,Bhoopali,Aaroh,R,2,15
G,Bhoopali,Aaroh,G,3,17
P,Bhoopali,Aaroh,P,4,20
D,Bhoopali,Aaroh,D,5,22
?,Bhoopali,Aaroh,S',100,25
?,Bhoopali,Avaroh,S',1,25
D,Bhoopali,Avaroh,D,2,22
P,Bhoopali,Avaroh,P,3,20
G,Bhoopali,Avaroh,G,4,17
R,Bhoopali,Avaroh,R,5,15
S,Bhoopali,Avaroh,S,100,13
S,Vibhas,Aaroh,S,1,13
r,Vibhas,Aaroh,r,2,14
G,Vibhas,Aaroh,G,3,17
P,Vibhas,Aaroh,P,4,20
d,Vibhas,Aaroh,d,5,21
?,Vibhas,Aaroh,S',100,25
?,Vibhas,Avaroh,S',1,25
d,Vibhas,Avaroh,d,2,21
P,Vibhas,Avaroh,P,3,20
G,Vibhas,Avaroh,G,4,17
r,Vibhas,Avaroh,r,5,14
S,Vibhas,Avaroh,S,100,13
S,Bhupeshwari,Aaroh,S,1,13
R,Bhupeshwari,Aaroh,R,2,15
G,Bhupeshwari,Aaroh,G,3,17
P,Bhupeshwari,Aaroh,P,4,20
d,Bhupeshwari,Aaroh,d,5,21
?,Bhupeshwari,Aaroh,S',100,25
?,Bhupeshwari,Avaroh,S',1,25
d,Bhupeshwari,Avaroh,d,2,21
P,Bhupeshwari,Avaroh,P,3,20
G,Bhupeshwari,Avaroh,G,4,17
R,Bhupeshwari,Avaroh,R,5,15
S,Bhupeshwari,Avaroh,S,100,13
S,Shivranjini,Aaroh,S,1,13
R,Shivranjini,Aaroh,R,2,15
g,Shivranjini,Aaroh,g,3,16
P,Shivranjini,Aaroh,P,4,20
D,Shivranjini,Aaroh,D,5,22
?,Shivranjini,Aaroh,S',100,25
?,Shivranjini,Avaroh,S',1,25
D,Shivranjini,Avaroh,D,2,22
P,Shivranjini,Avaroh,P,3,20
g,Shivranjini,Avaroh,g,4,16
R,Shivranjini,Avaroh,R,5,15
S,Shivranjini,Avaroh,S,100,13
S,Khamaj,Aaroh,S,1,13
G,Khamaj,Aaroh,G,2,17
M,Khamaj,Aaroh,m,3,18
P,Khamaj,Aaroh,P,4,20
D,Khamaj,Aaroh,D,5,22
N,Khamaj,Aaroh,N,6,24
?,Khamaj,Aaroh,S',100,25
?,Khamaj,Avaroh,S',1,25
n,Khamaj,Avaroh,n,2,23
D,Khamaj,Avaroh,D,3,22
P,Khamaj,Avaroh,P,4,20
M,Khamaj,Avaroh,m,5,18
G,Khamaj,Avaroh,G,6,17
R,Khamaj,Avaroh,R,7,15
S,Khamaj,Avaroh,S,100,13
S,Bhairav,Aaroh,S,1,13
r,Bhairav,Aaroh,r,2,14
G,Bhairav,Aaroh,G,3,17
M,Bhairav,Aaroh,m,4,18
P,Bhairav,Aaroh,P,5,20
d,Bhairav,Aaroh,d,6,21
N,Bhairav,Aaroh,N,7,24
?,Bhairav,Aaroh,S',100,25
?,Bhairav,Avaroh,S',1,25
N,Bhairav,Avaroh,N,2,24
d,Bhairav,Avaroh,d,3,21
P,Bhairav,Avaroh,P,4,20
M,Bhairav,Avaroh,m,5,18
G,Bhairav,Avaroh,G,6,17
r,Bhairav,Avaroh,r,7,14
S,Bhairav,Avaroh,S,100,13
S,Bhairavi,Aaroh,S,1,13
r,Bhairavi,Aaroh,r,2,14
g,Bhairavi,Aaroh,g,3,16
M,Bhairavi,Aaroh,m,4,18
P,Bhairavi,Aaroh,P,5,20
d,Bhairavi,Aaroh,d,6,21
n,Bhairavi,Aaroh,n,7,23
?,Bhairavi,Aaroh,S',100,25
?,Bhairavi,Avaroh,S',1,25
n,Bhairavi,Avaroh,n,2,23
d,Bhairavi,Avaroh,d,3,21
P,Bhairavi,Avaroh,P,4,20
M,Bhairavi,Avaroh,m,5,18
g,Bhairavi,Avaroh,g,6,16
r,Bhairavi,Avaroh,r,7,14
S,Bhairavi,Avaroh,S,100,13
S,Malkauns,Aaroh,S,1,13
g,Malkauns,Aaroh,g,2,16
M,Malkauns,Aaroh,m,3,18
d,Malkauns,Aaroh,d,4,21
n,Malkauns,Aaroh,n,5,23
?,Malkauns,Aaroh,S',100,25
?,Malkauns,Avaroh,S',1,25
n,Malkauns,Avaroh,n,2,23
d,Malkauns,Avaroh,d,3,21
M,Malkauns,Avaroh,m,4,18
